id,start_ip_range,end_ip_range,is_fw,is_lp,type,is_v6
333,5C3FAB38,5C3FAB38,1,0,90,0
334,1F195AAA,1F195AAA,1,0,90,0
335,67ADE33F,67ADE33F,1,0,90,0
336,CF94063A,CF94063A,1,0,90,0
337,48A7FD83,48A7FD83,1,0,90,0
338,08DA50E3,08DA50E3,1,0,90,0
339,48A7D2F1,48A7D2F1,1,0,90,0
340,3B6A131B,3B6A131B,1,0,90,0
341,2BF9CFA3,2BF9CFA3,1,0,90,0
342,33268644,33268644,1,0,90,0
343,8A44B696,8A44B696,1,0,90,0
344,08867A3C,08867A3C,1,0,90,0
345,44B29620,44B29620,1,0,90,0
346,44B2C727,44B2C727,1,0,90,0
347,67BD58C2,67BD58C2,1,0,90,0
348,1B7FC5AD,1B7FC5AD,1,0,90,0
349,529D100B,529D100B,1,0,90,0
350,26F2FEB8,26F2FEB8,1,0,90,0
351,597419EF,597419EF,1,0,90,0
352,CFF4F955,CFF4F955,1,0,90,0
353,614A51F1,614A51F1,1,0,90,0
354,7837AA68,7837AA68,1,0,90,0
355,CED98F58,CED98F58,1,0,90,0
356,746A17FE,746A17FE,1,0,90,0
357,8890DEFC,8890DEFC,1,0,90,0
358,26003C0100000000F03C93FFFE6D2EBE,26003C0100000000F03C93FFFE6D2EBE,1,0,90,1
359,44B2E5B2,44B2E5B2,1,0,90,0
360,266174F4,266174F4,1,0,90,0
361,14F40505,14F40505,1,0,90,0
362,B06E6F07,B06E6F07,1,0,90,0
363,2A10E140001401000000000000000007,2A10E140001401000000000000000007,1,0,90,1
364,26F2D7D4,26F2D7D4,1,0,90,0
365,50F1D5D2,50F1D5D2,1,0,90,0
366,677FC63F,677FC63F,1,0,90,0
367,70D9A0BA,70D9A0BA,1,0,90,0
368,5CCD119B,5CCD119B,1,0,90,0
369,08D01A5C,08D01A5C,1,0,90,0
370,2A024780000CBC1D0000000000000001,2A024780000CBC1D0000000000000001,1,0,90,1
371,D9A05FF3,D9A05FF3,1,0,90,0
372,23E57EE6,23E57EE6,1,0,90,0
373,5CCCDDA0,5CCCDDA0,1,0,90,0
374,76191B5B,76191B5B,1,0,90,0
375,40E3782B,40E3782B,1,0,90,0
376,8B3B191B,8B3B191B,1,0,90,0
377,743ECEAE,743ECEAE,1,0,90,0
378,2FF015AB,2FF015AB,1,0,90,0
379,334FFF0F,334FFF0F,1,0,90,0
380,91EFFECD,91EFFECD,1,0,90,0
381,71BEE899,71BEE899,1,0,90,0
382,6686A5BE,6686A5BE,1,0,90,0
383,B9B56634,B9B56634,1,0,90,0
384,58C6E5EA,58C6E5EA,1,0,90,0
385,6792B1A9,6792B1A9,1,0,90,0
386,3C2B9496,3C2B9496,1,0,90,0
387,6BBD0D73,6BBD0D73,1,0,90,0
388,05BC3E15,05BC3E15,1,0,90,0
389,1F189A1F,1F189A1F,1,0,90,0
390,C34A26AB,C34A26AB,1,0,90,0
391,6795A53E,6795A53E,1,0,90,0
392,94FBEC51,94FBEC51,1,0,90,0
393,2BF13AA3,2BF13AA3,1,0,90,0
394,B9A0B6DC,B9A0B6DC,1,0,90,0
395,9F4B7033,9F4B7033,1,0,90,0
396,22864650,22864650,1,0,90,0
397,8A449B16,8A449B16,1,0,90,0
398,68A81773,68A81773,1,0,90,0
399,B90C7EE5,B90C7EE5,1,0,90,0
400,DD798F6E,DD798F6E,1,0,90,0
401,A7AC73B0,A7AC73B0,1,0,90,0
402,3344E751,3344E751,1,0,90,0
403,CC5DC154,CC5DC154,1,0,90,0
404,B8A86B50,B8A86B50,1,0,90,0
405,67921651,67921651,1,0,90,0
406,DC4BDC54,DC4BDC54,1,0,90,0
407,D8DB5FB7,D8DB5FB7,1,0,90,0
408,A5160560,A5160560,1,0,90,0
409,7BCF2B9D,7BCF2B9D,1,0,90,0
410,6757AF19,6757AF19,1,0,90,0
411,18C76A63,18C76A63,1,0,90,0
412,4A301396,4A301396,1,0,90,0
413,1769FE04,1769FE04,1,0,90,0
414,59F8C092,59F8C092,1,0,90,0
415,33440BCF,33440BCF,1,0,90,0
416,592AD2B1,592AD2B1,1,0,90,0
417,3D02661A,3D02661A,1,0,90,0
418,20010BC806780A3B0000000000000001,20010BC806780A3B0000000000000001,1,0,90,1
419,68F7A192,68F7A192,1,0,90,0
420,8FC6C03A,8FC6C03A,1,0,90,0
421,DD954711,DD954711,1,0,90,0
422,5396D54C,5396D54C,1,0,90,0
423,8B3B69B3,8B3B69B3,1,0,90,0
424,C296D7F2,C296D7F2,1,0,90,0
425,C372022E,C372022E,1,0,90,0
426,C6C740C4,C6C740C4,1,0,90,0
427,D5E67FE0,D5E67FE0,1,0,90,0
428,D8EE65E3,D8EE65E3,1,0,90,0
429,2D8DD781,2D8DD781,1,0,90,0
430,5CCC81D6,5CCC81D6,1,0,90,0
431,40EB3214,40EB3214,1,0,90,0
432,5E49943E,5E49943E,1,0,90,0
433,52A538AD,52A538AD,1,0,90,0
434,6A0F0ADD,6A0F0ADD,1,0,90,0
435,6FDD2D16,6FDD2D16,1,0,90,0
436,B9E8FAF4,B9E8FAF4,1,0,90,0
437,D8DB5102,D8DB5102,1,0,90,0
438,276A0FD1,276A0FD1,1,0,90,0
439,14A9348B,14A9348B,1,0,90,0
440,C0A9D974,C0A9D974,1,0,90,0
441,5B8EDEB4,5B8EDEB4,1,0,90,0
442,5241F812,5241F812,1,0,90,0
443,3B7C8E85,3B7C8E85,1,0,90,0
444,9FCB16C7,9FCB16C7,1,0,90,0
445,8AC5A9A8,8AC5A9A8,1,0,90,0
446,BC442FAC,BC442FAC,1,0,90,0
447,36276172,36276172,1,0,90,0
448,323E892F,323E892F,1,0,90,0
449,9387AE11,9387AE11,1,0,90,0
450,2F62B177,2F62B177,1,0,90,0
451,75120DEA,75120DEA,1,0,90,0
452,71BEE91A,71BEE91A,1,0,90,0
453,36DF451D,36DF451D,1,0,90,0
454,CEBD81F1,CEBD81F1,1,0,90,0
455,675AE479,675AE479,1,0,90,0
456,33A174CB,33A174CB,1,0,90,0
457,200141D00001F4570000000000000001,200141D00001F4570000000000000001,1,0,90,1
458,966B1F4B,966B1F4B,1,0,90,0
459,2A03B0C0000100D0000000000EA7E001,2A03B0C0000100D0000000000EA7E001,1,0,90,1
